,adtv_bn
SEP,0.021982591666666666
SFI,0.02187966666666667
SMA,0.021381268333333335
VSE,0.021225609999999995
MCO,0.021075409999999996
CDP,0.020947210533333333
MKV,0.020841138333333332
HTL,0.020664
BTS,0.020482385000000002
CAG,0.020450741666666664
DCS,0.020328566666666666
HNA,0.019917118333333334
SD3,0.019910005
LCM,0.019741820000000004
LPT,0.01973648
VAV,0.019721197999999995
AGM,0.019652986666666667
VAF,0.019580210416666664
SID,0.019401516666666667
SD5,0.019366166666666667
CCS,0.019327168333333332
BCF,0.019235277533333334
MDC,0.019109672916666667
VPR,0.019059494566666665
LKW,0.01904831535
DBM,0.018961736883333337
QNU,0.018804333333333333
CMM,0.01879972333333333
KTL,0.01875847705
ASG,0.01875230166666667
SGS,0.018694163316666665
STC,0.018629298333333332
X20,0.01862041405
THM,0.01859725666666667
DTA,0.01838476066666667
VNA,0.018146629566666666
CKV,0.01789027333333333
GMC,0.01778688
SBM,0.01774247333333333
PIC,0.017631438516666664
VCX,0.017622931666666664
VSA,0.01755918
DMN,0.017487668683333332
MGC,0.0173325
TN1,0.017149481666666667
VMC,0.016990536666666667
VE3,0.01687483
FTM,0.016819571666666668
CTB,0.01678685411666667
PCT,0.016723335
D11,0.016704173116666665
SPM,0.016576433333333335
VE9,0.016534941666666667
CRV,0.016338683333333333
BXH,0.01594939
HIO,0.015829583333333334
QHW,0.015708796666666667
VHL,0.015702008333333333
TCT,0.015633276666666668
CBI,0.015412818333333333
NDT,0.015394316666666668
PAP,0.015386375
STG,0.0151619675
UNI,0.015074031666666668
LMI,0.014893573116666668
DAD,0.014877111666666666
NBE,0.014746173333333334
SZE,0.014566303733333332
WSB,0.014537183333333332
GTD,0.014399674999999999
PHS,0.01432178333333333
PMS,0.014248401666666669
DCV,0.014242238216666666
DNE,0.014237794300000002
KSQ,0.01420955
TTT,0.014066158333333334
HJS,0.014023863333333334
SC5,0.013919917500000002
NNT,0.013887678233333334
HC3,0.013813563783333335
SBD,0.013734807083333335
VMD,0.01371025
DIH,0.013679481133333333
PBP,0.013658162316666665
SEB,0.0133470689
TDW,0.0132284
ONE,0.013196248333333334
L63,0.013188075
PSP,0.013170056666666667
SBL,0.013125636666666666
A32,0.012976725483333335
STD,0.012780579999999998
PCC,0.012762733333333333
TED,0.012755173333333335
HBS,0.012680618333333336
NBP,0.012512005
VE1,0.012471188333333334
STP,0.012450105000000001
KGM,0.012414598333333334
S4A,0.012406166666666666
FHS,0.01239385733333333
NXT,0.012374186666666667
VNG,0.012287683333333332
SJG,0.012272346666666668
TDS,0.01226822
VCM,0.012199015
BTW,0.011932974700000001
HVX,0.011898651666666664
VES,0.011852811666666666
PMG,0.011809519999999999
YBM,0.011805933333333333
GLT,0.011689890000000001
VID,0.0116086685
MEL,0.011578098883333334
CCR,0.01156541
DC1,0.0114515064
HAN,0.011444051666666668
USD,0.011327673333333335
TKU,0.011204379933333335
DIC,0.01115777
DNC,0.011151028833333333
ICF,0.011148003333333333
HKB,0.011085496666666668
DTI,0.011075038333333332
HTE,0.01103889
MPT,0.011012735
PXI,0.010949645
NSL,0.010886197683333335
BBH,0.010757196566666667
PMW,0.010726540000000001
MQN,0.01069609
MDF,0.010627656666666667
V21,0.010545628333333334
VW3,0.010532881666666665
BSQ,0.0104929
VLG,0.010449375
TNS,0.010327421666666668
TMG,0.010307381666666665
